Reference,Account Number,Description,Start Balance,Mutation,End Balance
184360,NL56RABO0149876948,Flowers for Erik Bakker,80.62,31.81,112.43
112806,NL91RABO0315273637,Subscription for Richard King,43.96,25.25,69.21
190089,NL32RABO0195610843,Candy for Richard Dekker,22.96,46.26,69.22
150580,NL43AEGO0773393871,Clothes for DaniÎl Bakker,102.09,-26.35,75.74
112806,NL46ABNA0625805417,Tickets from Vincent Dekker,82.2,1.48,83.68
112806,NL91RABO0315273637,Candy from Vincent de Vries,14.93,31.13,46.06
149876,NL56RABO0149876948,Subscription from Erik Theuﬂ,63.19,-29.19,34
137412,NL74ABNA0248990274,Candy from Willem Dekker,100.98,-16.7,84.28
181298,NL90ABNA0585647886,Candy for Richard Theuﬂ,74.12,49.64,123.76
193121,NL27SNSB0917829871,Clothes for Erik King,93.92,18.61,112.53
